# PAPER 11 — EVIDENCE SELECTION

Canonical key: doi:10.3390/curroncol30030241

Selection rule: explicit stable source ranges covering the study objective, palette construction, instrument measurement, protocol, statistical validity, results, interpretation, and limitations.
Reference-list content and keyword-only matches are excluded.

## ABSTRACT_OBJECTIVE_POPULATION_AND_RESULTS
Source range: L00009–L00018

L00009	Abstract Our goal is to determine whether our
L00116	subjects were more likely to be age 18–29 and female.
L00117	Mean values of melanin index obtained from the colorimeter were stratified by various self-reported measures of sun sensitivity, including the new skin tone palette.
L00118	2.5.1.
L00119	Repeat Reliability Repeat reliability was examined using an interclass correlation coefficient (ICC) [ 16 ].
L00120	The square root of the reliability coefficient is an estimate of the upper limit of validity based on the parallel test assumption [ 16 ].
L00121	Standard “rule of thumb” for interpreting correlations of >0.9 as very high or excellent, 0.8 to 0.9 as high or good, 0.7 to 0.8 as high or fair, 0.5–0.7 as moderate, 0.3–0.5 as low, and <0.3 as negligible correlations were used as descriptive adjectives [
L00122	26 , 27 , 28 ].
L00123	As a scale cannot be valid if it is not reliable, thus we first examined its repeat reliability [ 16 ].
L00124	The SASTP had moderate to high reliability among 146
L00125	subjects who repeated questions about the color of their upper-inner arm and color of their forearm using the SASTP re-assessed one month later [ 18 ].
L00126	Half of these
L00127	subjects completed the re-assessment in-person and half completed it online.
L00128	As measurements used the same scale, the best measure of repeated reliability is an ICC [ 16 ].
L00129	The test–retest reliability for the upper inner arm had ICCs ranging from 0.57–0.83, whereas the ICCs ranged from 0.71–0.72 for the forearm [ 18 ].
L00130	2.5.2.

## CRITERION_VALIDITY_AND_STATISTICAL_METHOD
Source range: L00131–L00143

L00131	Criterion Validity/Intermethod Reliability Criterion validity, also known as intermethod reliability [ 16 , 17 , 29 ], was ascertained by comparing the melanin index values reported from the colorimeter and the self-selected color from the 9-point color palette obtained at the same time.
L00132	Intermethod reliability or validity is a measure of the ability of two different instruments measuring the same underlying concept to yield the same
L00133	results on the same
L00134	subjects.
L00135	Validity is when one is comparing a more precise but more burdensome measurement to a simple measurement more easily used in a larger study [ 16 ].
L00136	Various statistical measures can be used in intermethod reliability/validity, dependent on the type of exposure measurement from continuous, dichotomous, nominal, or ordered category by, respectively, using Pearson correlations, sensitivity and specificity, misclassification matrices, or Spearman correlations [ 16 ].
L00137	In our study, the colorimeter is the more precise and more burdensome measure which produces values on a continuous scale.
L00138	The 9-point SASTP scale is between an ordered categorical and continuous scale, which was developed based on skin tones translated via the colorimeter to a melanin scale.
L00139	The Spearman correlation would compare the SASTP based on the rank order of the 9-values and the melanin values.
L00140	Because the SASTP was not developed as a 9-point equally spaced scale or a rank ordered scale, the Pearson product-moment correlation is more appropriate for capturing the 9-points of the SASTP based on the melanin scale of the skin tones that they were created to
L00141	match in comparison to the continuous melanin scale [ 16 ].
L00142	The SASTP 9-skin tones were translated to melanin values of 19.4, 20.5, 25.0, 30.6, 37.6, 58.6, 72.0, 90.5, and 102.2 based on colorimeter measurements of the skin tones chosen for the scale.
L00143	SAS versions 9.4 and University (SAS Institute, Inc., Gary, NC, USA) were used for conducting data analysis to obtain correlations and 95 percent confidence intervals.

## PARTICIPANT_POPULATION_AND_MELANIN_RESULTS
Source range: L00145–L00171

L00145	Results Of the 188
L00146	participants, about 50% self-classified as White, 30% as Hispanic or White-Hispanic, 12% as Asian, 3% Native American or Alaskan, and 4% African American.
L00147	Due to the size and demographics of the undergraduate class ( N = 144), the majority of
L00148	participants were 18–29 years of age (81%), with 5% ages 30–39, 1% ages 40–49, 8% ages 50–59, and 5% age 60 or older.
L00149	Majority of our study
L00150	participants were female (70%).
L00151	Moreover,
L00152	subjects excluded from validity analyses for use of tanning sprays or creams in the prior month were more likely to be younger, female, and more likely to burn.
L00153	On average, female
L00154	participants had slightly lower average melanin ( M ) index value ( M = 39.4) than male
L00155	participants ( M = 41.2) for the upper-inner arm (unexposed), and even more so for average melanin of the forearm (exposed), with 46.2 for females compared to 52.7 for males.
L00156	Mean values and ranges of melanin index of the upper-inner arm and the forearm are presented in Table 1 by sun sensitivity factors to show how standard sun sensitivity measures relate to melanin.
L00157	Both “tendency to burn” and skin color of the upper-inner arm are measures related to untanned skin color, so they are only compared to upper-inner arm melanoma.
L00158	Whereas self-assessed forearm color compared to the inner arm is worded to be related to how much darker the sun-exposed forearm is, therefore, it is only compared to the melanin of the forearm.
L00159	For tendency to sunburn after initial exposure to the sun, the average melanin index values gradually increased across the response categories as expected from 34.8 for
L00160	subjects reporting a severe and painful sunburn to 42.2 for those who answered no burn.
L00161	Mean melanin index values of the forearm decreased from 50.2 for an ability to tan deeply to 46.4 for tanning mildly; having no tan had the highest average melanin index value of 51.5.
L00162	The gradient of melanin of the upper-inner arm did correspond with self-reported skin color of the upper-inner arm ( Table 1 ).
L00163	Average melanin index values increased with darker eye color and hair pigmentation but were less clearly associated.
L00164	White
L00165	participants had the greatest variability of melanin index values with a range of 20 to 60.
L00166	For the most part, melanin values were lightest in
L00167	subjects who self-reported their
L00168	background as White, followed by Hispanic-White, Hispanic, Asian, Native American and then African American or Black peoples.
L00169	While our face validity and cognitive interviewing processes for developing the SASTP included
L00170	subjects of a wide range of skin types, the survey and colorimeter data did not capture very many
L00171	subjects who self-classified as Black or had melanin values above 70 ( Table 1 ; Figure 2 ).

## CRITERION_VALIDITY_AND_RELIABILITY_RESULTS
Source range: L00184–L00197

L00184	Figure 2 Boxplot of melanin values from the colorimeter vs. the SASTP for the ( A ) upper inner arm, and ( B ) forearm.
L00185	The diamond represents the mean, the horizontal line in the box represents the median. the length of the box represents the interquartile range, the whiskers at the end of each represent the maximum and minimum values of melanin.
L00186	Criterion validity of the respondents’ choices within the SASTP in comparison to melanin index values are reported in Table 2 .
L00187	Our newly developed self-assessment skin color palette values correlated well with colorimeter melanin index values for
L00188	participants.
L00189	This was true when comparing values from the palette and the colorimeter for the upper-inner arm and for the forearm with the exception of one subject who chose the 8th darkest color out of 9 colors, but this should be interpreted cautiously with only 1.6%
L00190	of
L00191	subjects choosing 7, 8, or 9.
L00192	Table 2 Repeat reliability and Criterion Validity (Intermethod Reliability) of the Self-Assessment of the Skin Tone Palette (SASTP) initially taken in-person among non-artificial tanners.
L00193	Reliability/Validity Measure: Repeat Reliability of SASTP 1 N ICC Lower Limit of ICC Upper Limit of Validity 2 Repeat survey taken online 3 Upper inner arm (unexposed skin color) 72 0.83 0.76 0.91 Forearm (exposed skin color) 72 0.71 0.60 0.83 Repeat Survey taken in-person
L00194	3 Upper inner arm (unexposed skin color) 73 0.57 0.43 0.77 Forearm (exposed skin color) 73 0.72 0.62 0.87 Skin Tone Palette vs.
L00195	Colorimeter Melanin Intermethod Reliability/Criterion Validity 4 N Corr 95% CI Upper inner arm (unexposed skin color) 188 0.81 0.75–0.85 Forearm (exposed skin color) 188 0.77 0.70–0.82 Abbreviations: CI, confidence interval; Corr, Pearson product-moment correlation; ICC, interclass correlation coefficient; N, number of
L00196	subjects; SASTP, Self-Assessment of Skin Tone Palette; 1 Instructions: Using the color palette provided, what color best matches the skin color of your…; 2 The upper-limit of validity was estimated based on the reliability; 3 Test–retest reliability of the Self-Assessment of Skin Tone Palette (SASTP)
L00197	based on an Interclass correlation coefficient (ICC); ICC reliability used to estimate upper limit of validity; 4 Intermethod Reliability/Criterion Validity comparing the SASTP values translated to melanin values to the melanin values from a colorimeter measurement using the Pearson Product-Moment correlation.

## PRIMARY_INTERPRETATION
Source range: L00199–L00205

L00199	Discussion Our SASTP was developed to include Hispanic people and others in skin cancer research that is often restricted to non-Hispanic White people.
L00200	The SASTP was designed to have skin tones that sought to match the melanin in one’s skin color, particularly among White and Hispanic people.
L00201	We found that the SASTP is an accurate tool for self-assessment of skin tone compared to an
L00202	objective measure of tanness of the skin (the colorimeter) whether looking at untanned skin (upper-inner arm) or tanned skin (forearm).
L00203	Of our non-artificial tanners, 50% self-classified other than non-Hispanic White people.
L00204	We saw overlapping melanin values for skin color among those who self-classified their
L00205	background as Hispanic, Hispanic-White, or White.

## COMPARATIVE_BOUNDARY_AND_LIMITATIONS
Source range: L00255–L00276

L00255	Our self-reported skin tone in comparison to melanin index values had criterion validity not quite as high as the Lucian tiles, but stronger than that reported for the Munsell system.
L00256	Furthermore, our SASTP did not require trained research staff to evaluate skin color with 36–40 tiles.
L00257	Strengths of our study include a color palette with a wide range of skin tones while still being easily accessible and a quick measurement tool, a sample size > 175
L00258	subjects, and an
L00259	objective measure of skin color (colorimeter) to validate the SASTP.
L00260	The population included a reasonable number of
L00261	subjects that self-identified as White and Hispanic, along with a few other
L00262	subjects who self-classified as Asian, Native American, or African American.
L00263	The shade-inclusive color palette had a wide variety of shades that were easily distinguishable from one another.
L00264	The study population was predominately White and/or Hispanic (80%).
L00265	Thus, more research to investigate self-assessment of SASTP in darker skinned individuals would expand the usefulness of our 9-point skin tone palette.
L00266	Only three
L00267	participants selected skin tones C1-C3 that were in the “dark” skin tone category.
L00268	Having a more diverse study population with more
L00269	participants for each of the nine skin tones would provide a more accurate representation of the full-scale.
L00270	However, most populations do not evenly distribute on any scale.
L00271	Other
L00272	limitations of this study include a younger population, therefore, additional research among older
L00273	subjects is warranted.
L00274	Although measurements using the colorimeter were taken in varying types of natural and artificial light, manufacturers of the DSM II ColorMeter claim that the brightness of bulb compensates for differences in lighting during
L00275	data collection [ 48 ].
L00276	To verify this, we used the colorimeter to test the colors on the color palette in the same locations with the same lighting and added on outdoor location and found the measurements did not vary by location ( p = 0.99) [ 23 ].

