review_order,task_id,task_sha256,canonical_identity,corpus_member_id,title,doi,pmid,year,allowed_terminal_roles,source_metadata_json,existing_observations_json
11,DISPOSITION-TASK-a9aa478e6b533356,5174c483e4e60ed486cc76d2eadefc402ce7eee3bbfa910665136b425f930f63,doi:10.1111/ics.12147,CORPUS-a9aa478e6b533356,Determination of melanin types and relative concentrations: an observational study using a non‐invasive inverse skin reflectance analysis,10.1111/ics.12147,,2014.0,FULL_SCIENTIFIC_EXTRACTION|BOUNDED_SCIENTIFIC_REVIEW|MATERIAL_LINEAGE_REFERENCE|EXCLUDED_WITH_REASON|TERMINAL_SOURCE_UNAVAILABLE,"{""best_domain_rank"":3,""canonical_key"":""doi:10.1111/ics.12147"",""claim_count"":2,""claim_id"":""TC-NOV-001"",""claim_rank"":9,""claims_json"":""[\""TC-NOV-001\"",\""TC-NOV-005\""]"",""doi"":""10.1111/ics.12147"",""domain_count"":1,""domains_json"":""[\""skin_reflectance_inverse_models\""]"",""maximum_domain_score"":15.954243,""review_status"":""PENDING_EVIDENCE_RESOLUTION"",""scientific_review_priority"":91.24181933333334,""screen_decision"":""UNADJUDICATED"",""title"":""Determination of melanin types and relative concentrations: an observational study using a non\u2010invasive inverse skin reflectance analysis"",""unique_review_order"":28,""url"":""https://doi.org/10.1111/ics.12147"",""year"":""2014.0""}",[]
12,DISPOSITION-TASK-65e3bb54b0d7adc4,b732f0ad6b42313f3f282a459eca95fcfce436fc55785d942dbd6fc018d1507f,doi:10.1111/ijd.70452,CORPUS-65e3bb54b0d7adc4,Diagnostic Accuracy of Three Large Language Models on Clinical Images Varies by Skin Tone: Findings From the Stanford Diverse Dermatology Images Dataset,10.1111/ijd.70452,,2026.0,FULL_SCIENTIFIC_EXTRACTION|BOUNDED_SCIENTIFIC_REVIEW|MATERIAL_LINEAGE_REFERENCE|EXCLUDED_WITH_REASON|TERMINAL_SOURCE_UNAVAILABLE,"{""best_domain_rank"":5,""canonical_key"":""doi:10.1111/ijd.70452"",""claim_count"":1,""claim_id"":""TC-NOV-004"",""claim_rank"":11,""claims_json"":""[\""TC-NOV-004\""]"",""doi"":""10.1111/ijd.70452"",""domain_count"":1,""domains_json"":""[\""dermatology_dataset_duplicates_labels_and_quality\""]"",""maximum_domain_score"":10.0,""review_status"":""PENDING_EVIDENCE_RESOLUTION"",""scientific_review_priority"":61.0,""screen_decision"":""UNADJUDICATED"",""title"":""Diagnostic Accuracy of Three Large Language Models on Clinical Images Varies by Skin Tone: Findings From the Stanford Diverse Dermatology Images Dataset"",""unique_review_order"":37,""url"":""https://doi.org/10.1111/ijd.70452"",""year"":""2026.0""}",[]
13,DISPOSITION-TASK-e7f3fc0263e72f79,1876b15295fa4662d4e7aeadde43150886495677311badd596ea83fb2dd83d0b,doi:10.1111/j.1600-0846.1997.tb00191.x,CORPUS-e7f3fc0263e72f79,A comparison between a tristimulus colorimeter (Minolta ChromaMeter CR‐200) and two spectrophotometers (Minolta Spectrophotometer CM‐508i and CM‐2002). Quantification of UV‐B induced erythema in a hairless guinea pig model,10.1111/j.1600-0846.1997.tb00191.x,,1997.0,FULL_SCIENTIFIC_EXTRACTION|BOUNDED_SCIENTIFIC_REVIEW|MATERIAL_LINEAGE_REFERENCE|EXCLUDED_WITH_REASON|TERMINAL_SOURCE_UNAVAILABLE,"{""best_domain_rank"":3,""canonical_key"":""doi:10.1111/j.1600-0846.1997.tb00191.x"",""claim_count"":1,""claim_id"":""TC-NOV-003"",""claim_rank"":15,""claims_json"":""[\""TC-NOV-003\""]"",""doi"":""10.1111/j.1600-0846.1997.tb00191.x"",""domain_count"":1,""domains_json"":""[\""skin_colorimetry_ita_and_color_measurement\""]"",""maximum_domain_score"":11.113943,""review_status"":""PENDING_EVIDENCE_RESOLUTION"",""scientific_review_priority"":76.56121933333334,""screen_decision"":""INCLUDE_CONTEXTUAL"",""title"":""A comparison between a tristimulus colorimeter (Minolta ChromaMeter CR\u2010200) and two spectrophotometers (Minolta Spectrophotometer CM\u2010508i and CM\u20102002). Quantification of UV\u2010B induced erythema in a hairless guinea pig model"",""unique_review_order"":46,""url"":""https://doi.org/10.1111/j.1600-0846.1997.tb00191.x"",""year"":""1997.0""}",[]
14,DISPOSITION-TASK-5916f5967be4db17,2744ae24ca7fc888f04a901e335a661deeeef9cc624dbd03f6678b9cb8662c4f,doi:10.1111/srt.12396,CORPUS-5916f5967be4db17,"SpectraCam<sup>®</sup>: A new polarized hyperspectral imaging system for repeatable and reproducible in vivo skin quantification of melanin, total hemoglobin, and oxygen saturation",10.1111/srt.12396,,2018.0,FULL_SCIENTIFIC_EXTRACTION|BOUNDED_SCIENTIFIC_REVIEW|MATERIAL_LINEAGE_REFERENCE|EXCLUDED_WITH_REASON|TERMINAL_SOURCE_UNAVAILABLE,"{""best_domain_rank"":6,""canonical_key"":""doi:10.1111/srt.12396"",""claim_count"":1,""claim_id"":""TC-NOV-001"",""claim_rank"":15,""claims_json"":""[\""TC-NOV-001\""]"",""doi"":""10.1111/srt.12396"",""domain_count"":2,""domains_json"":""[\""fisher_information_and_cramer_rao_skin_imaging\"",\""melanin_hemoglobin_and_scattering_identifiability\""]"",""maximum_domain_score"":11.623249,""review_status"":""PENDING_EVIDENCE_RESOLUTION"",""scientific_review_priority"":76.91316466666666,""screen_decision"":""UNADJUDICATED"",""title"":""SpectraCam<sup>\u00ae</sup>: A new polarized hyperspectral imaging system for repeatable and reproducible in vivo skin quantification of melanin, total hemoglobin, and oxygen saturation"",""unique_review_order"":45,""url"":""https://doi.org/10.1111/srt.12396"",""year"":""2018.0""}",[]
15,DISPOSITION-TASK-45015e13a1263d20,a43a8e9be26469f994c48a7c93c054ed2be7549698d101c2286808586849fd9c,doi:10.1111/srt.12421,CORPUS-45015e13a1263d20,Analysis of the influence of collagen fibres in the dermis on skin optical reflectance by Monte Carlo simulation in a nine‐layered skin model,10.1111/srt.12421,,2018.0,FULL_SCIENTIFIC_EXTRACTION|BOUNDED_SCIENTIFIC_REVIEW|MATERIAL_LINEAGE_REFERENCE|EXCLUDED_WITH_REASON|TERMINAL_SOURCE_UNAVAILABLE,"{""best_domain_rank"":4,""canonical_key"":""doi:10.1111/srt.12421"",""claim_count"":2,""claim_id"":""TC-NOV-001"",""claim_rank"":12,""claims_json"":""[\""TC-NOV-001\"",\""TC-NOV-005\""]"",""doi"":""10.1111/srt.12421"",""domain_count"":1,""domains_json"":""[\""skin_tissue_optical_forward_models\""]"",""maximum_domain_score"":16.079181,""review_status"":""PENDING_EVIDENCE_RESOLUTION"",""scientific_review_priority"":83.158362,""screen_decision"":""UNADJUDICATED"",""title"":""Analysis of the influence of collagen fibres in the dermis on skin optical reflectance by Monte Carlo simulation in a nine\u2010layered skin model"",""unique_review_order"":33,""url"":""https://doi.org/10.1111/srt.12421"",""year"":""2018.0""}",[]
16,DISPOSITION-TASK-0c20a1f05d8be4be,b54b53b04fcd8513730d3f0fd4148ed18ee04ba29b7bfc7d35ccfd4b8a097bbe,doi:10.1111/srt.13207,CORPUS-0c20a1f05d8be4be,Validity of self‐reported skin color by using skin color evaluation scale,10.1111/srt.13207,36210488.0,2022.0,FULL_SCIENTIFIC_EXTRACTION|BOUNDED_SCIENTIFIC_REVIEW|MATERIAL_LINEAGE_REFERENCE|EXCLUDED_WITH_REASON|TERMINAL_SOURCE_UNAVAILABLE,"{""best_domain_rank"":2,""canonical_key"":""doi:10.1111/srt.13207"",""claim_count"":2,""claim_id"":""TC-NOV-003"",""claim_rank"":10,""claims_json"":""[\""TC-NOV-003\"",\""TC-NOV-005\""]"",""doi"":""10.1111/srt.13207"",""domain_count"":1,""domains_json"":""[\""skin_colorimetry_ita_and_color_measurement\""]"",""maximum_domain_score"":11.646128,""pmid"":""36210488.0"",""review_status"":""PENDING_EVIDENCE_RESOLUTION"",""scientific_review_priority"":94.292256,""screen_decision"":""UNADJUDICATED"",""title"":""Validity of self\u2010reported skin color by using skin color evaluation scale"",""unique_review_order"":30,""url"":""https://doi.org/10.1111/srt.13207"",""year"":""2022.0""}",[]
17,DISPOSITION-TASK-13fcfe1ce95a00f0,9e288669f5533ddef95f9ddd8bef83ee4400c651dd00f60fb32f8eab5b3b6c56,doi:10.1117/1.jbo.27.2.026004,CORPUS-13fcfe1ce95a00f0,Skin chromophore mapping by smartphone RGB camera under spectral band and spectral line illumination,10.1117/1.jbo.27.2.026004,,2022.0,FULL_SCIENTIFIC_EXTRACTION|BOUNDED_SCIENTIFIC_REVIEW|MATERIAL_LINEAGE_REFERENCE|EXCLUDED_WITH_REASON|TERMINAL_SOURCE_UNAVAILABLE,"{""best_domain_rank"":2,""canonical_key"":""doi:10.1117/1.jbo.27.2.026004"",""claim_count"":2,""claim_id"":""TC-NOV-002"",""claim_rank"":10,""claims_json"":""[\""TC-NOV-002\"",\""TC-NOV-003\""]"",""doi"":""10.1117/1.jbo.27.2.026004"",""domain_count"":2,""domains_json"":""[\""camera_metamerism_and_spectral_reconstruction\"",\""camera_spectral_sensitivity_and_observation_operators\""]"",""maximum_domain_score"":13.541393,""review_status"":""PENDING_EVIDENCE_RESOLUTION"",""scientific_review_priority"":109.082786,""screen_decision"":""UNADJUDICATED"",""title"":""Skin chromophore mapping by smartphone RGB camera under spectral band and spectral line illumination"",""unique_review_order"":22,""url"":""https://doi.org/10.1117/1.jbo.27.2.026004"",""year"":""2022.0""}",[]
18,DISPOSITION-TASK-4b1e6a689b9d4328,dd4b5099ebfaf5c9a57644b5ccd78a4d288b46108ee9bf538b144c8cd1df2932,doi:10.1117/1.jbo.28.10.107001,CORPUS-4b1e6a689b9d4328,"Measuring and imaging of transcutaneous bilirubin, hemoglobin, and melanin based on diffuse reflectance spectroscopy",10.1117/1.jbo.28.10.107001,37915398.0,2023.0,FULL_SCIENTIFIC_EXTRACTION|BOUNDED_SCIENTIFIC_REVIEW|MATERIAL_LINEAGE_REFERENCE|EXCLUDED_WITH_REASON|TERMINAL_SOURCE_UNAVAILABLE,"{""best_domain_rank"":4,""canonical_key"":""doi:10.1117/1.jbo.28.10.107001"",""claim_count"":3,""claim_id"":""TC-NOV-001"",""claim_rank"":7,""claims_json"":""[\""TC-NOV-001\"",\""TC-NOV-002\"",\""TC-NOV-005\""]"",""doi"":""10.1117/1.jbo.28.10.107001"",""domain_count"":2,""domains_json"":""[\""skin_reflectance_inverse_models\"",\""skin_tissue_optical_forward_models\""]"",""maximum_domain_score"":15.579181,""pmid"":""37915398.0"",""review_status"":""PENDING_EVIDENCE_RESOLUTION"",""scientific_review_priority"":93.158362,""screen_decision"":""UNADJUDICATED"",""title"":""Measuring and imaging of transcutaneous bilirubin, hemoglobin, and melanin based on diffuse reflectance spectroscopy"",""unique_review_order"":7,""url"":""https://doi.org/10.1117/1.jbo.28.10.107001"",""year"":""2023.0""}",[]
19,DISPOSITION-TASK-ead1102aae0c938a,a78c4ac4f242aec4d7d2e92c8453e2f3614093e0ae3bbc7bf401c94ba3b288f6,doi:10.1117/1.jbo.29.9.093507,CORPUS-ead1102aae0c938a,"Hyperspectral imaging with deep learning for quantification of tissue hemoglobin, melanin, and scattering",10.1117/1.jbo.29.9.093507,,2024.0,FULL_SCIENTIFIC_EXTRACTION|BOUNDED_SCIENTIFIC_REVIEW|MATERIAL_LINEAGE_REFERENCE|EXCLUDED_WITH_REASON|TERMINAL_SOURCE_UNAVAILABLE,"{""best_domain_rank"":2,""canonical_key"":""doi:10.1117/1.jbo.29.9.093507"",""claim_count"":3,""claim_id"":""TC-NOV-001"",""claim_rank"":6,""claims_json"":""[\""TC-NOV-001\"",\""TC-NOV-002\"",\""TC-NOV-005\""]"",""doi"":""10.1117/1.jbo.29.9.093507"",""domain_count"":1,""domains_json"":""[\""melanin_hemoglobin_and_scattering_identifiability\""]"",""maximum_domain_score"":13.454243,""review_status"":""PENDING_EVIDENCE_RESOLUTION"",""scientific_review_priority"":102.908486,""screen_decision"":""UNADJUDICATED"",""title"":""Hyperspectral imaging with deep learning for quantification of tissue hemoglobin, melanin, and scattering"",""unique_review_order"":6,""url"":""https://doi.org/10.1117/1.jbo.29.9.093507"",""year"":""2024.0""}",[]
20,DISPOSITION-TASK-1f4f0478ed0babcf,bac1f75b78090c7edac14c88f8c3a5ab8b093d46b464b1b65ecf978db8a076e0,doi:10.1117/12.3098404,CORPUS-1f4f0478ed0babcf,Monte Carlo simulation of spectral reflectance images of human skin with embedded lesions,10.1117/12.3098404,,2025.0,FULL_SCIENTIFIC_EXTRACTION|BOUNDED_SCIENTIFIC_REVIEW|MATERIAL_LINEAGE_REFERENCE|EXCLUDED_WITH_REASON|TERMINAL_SOURCE_UNAVAILABLE,"{""best_domain_rank"":7,""canonical_key"":""doi:10.1117/12.3098404"",""claim_count"":1,""claim_id"":""TC-NOV-001"",""claim_rank"":13,""claims_json"":""[\""TC-NOV-001\""]"",""doi"":""10.1117/12.3098404"",""domain_count"":2,""domains_json"":""[\""skin_tissue_optical_forward_models\"",\""spectral_reflectance_geometry_and_dimension\""]"",""maximum_domain_score"":14.0,""review_status"":""PENDING_EVIDENCE_RESOLUTION"",""scientific_review_priority"":79.28571428571428,""screen_decision"":""UNADJUDICATED"",""title"":""Monte Carlo simulation of spectral reflectance images of human skin with embedded lesions"",""unique_review_order"":40,""url"":""https://doi.org/10.1117/12.3098404"",""year"":""2025.0""}",[]
21,DISPOSITION-TASK-eb4b597fdf8a1bc0,367d497c1518e92ab9e3a966a8b5f1b81364083367c28cd98c36ef8166d02612,doi:10.1364/boe.507361,CORPUS-eb4b597fdf8a1bc0,Dynamic model for the strain-modulated spectral reflectance of the human skin in vivo,10.1364/boe.507361,,2024.0,FULL_SCIENTIFIC_EXTRACTION|BOUNDED_SCIENTIFIC_REVIEW|MATERIAL_LINEAGE_REFERENCE|EXCLUDED_WITH_REASON|TERMINAL_SOURCE_UNAVAILABLE,"{""best_domain_rank"":2,""canonical_key"":""doi:10.1364/boe.507361"",""claim_count"":2,""claim_id"":""TC-NOV-002"",""claim_rank"":13,""claims_json"":""[\""TC-NOV-002\"",\""TC-NOV-005\""]"",""doi"":""10.1364/boe.507361"",""domain_count"":1,""domains_json"":""[\""spectral_reflectance_geometry_and_dimension\""]"",""maximum_domain_score"":13.977121,""review_status"":""PENDING_EVIDENCE_RESOLUTION"",""scientific_review_priority"":98.954242,""screen_decision"":""UNADJUDICATED"",""title"":""Dynamic model for the strain-modulated spectral reflectance of the human skin in vivo"",""unique_review_order"":26,""url"":""https://doi.org/10.1364/boe.507361"",""year"":""2024.0""}",[]
